primary_sentence,secondary_sentence,label
¿Hasta cuando debo tomar el inglés?,Cumplimiento inglés,0.92
¿Hasta cuando debo tomar el inglés?,Requisito inglés,0.92
¿Hasta cuando debo tomar el inglés?,Restricción inglés,0.92
¿Hasta cuando debo tomar el inglés?,Suficiencia inglés,0.92
¿Hasta cuando debo tomar el inglés?,Gratuidad inglés,0.92
¿Hasta cuando debo tomar el inglés?,Proceso de Reingreso a Pregrado,0
¿Hasta cuando debo tomar el inglés?,Datos Socioeconómicos para el Reingreso a Pregrado,0
¿Hasta cuando debo tomar el inglés?,Necesito información sobre las becas,0
¿Hasta cuando debo tomar el inglés?,Quiero saber que matrículas existen,0
Proceso de Reingreso a Pregrado,Abandoné la carrera y quiero regresar,0.92
Proceso de Reingreso a Pregrado,Quiero volver a entrar a mi carrera,0.92
Proceso de Reingreso a Pregrado,Necesito regresar a mi carrera,0.92
Proceso de Reingreso a Pregrado,Me gustaría volver a la universidad,0.88
Proceso de Reingreso a Pregrado,Quiero retomar mis estudios,0.88
Proceso de Reingreso a Pregrado,¿Cómo puedo volver a mi carrera?,0.88
Proceso de Reingreso a Pregrado,Necesito información sobre el reingreso,0.88
Proceso de Reingreso a Pregrado,¿Qué debo hacer para regresar a mi carrera?,0.92
Proceso de Reingreso a Pregrado,Necesito ayuda para volver a mi carrera,0.92
Necesito regresar a mi carrera,Abandoné la carrera y quiero regresar,0.92
Necesito regresar a mi carrera,Quiero volver a entrar a mi carrera,0.92
Necesito regresar a mi carrera,Me gustaría volver a la universidad,0.88
Necesito regresar a mi carrera,Quiero retomar mis estudios,0.88
Necesito regresar a mi carrera,¿Cómo puedo volver a mi carrera?,0.88
Necesito regresar a mi carrera,Necesito información sobre el reingreso,0.88
Necesito regresar a mi carrera,¿Qué debo hacer para regresar a mi carrera?,0.92
Necesito regresar a mi carrera,Necesito ayuda para volver a mi carrera,0.92
¿Qué debo hacer para regresar a mi carrera?,Abandoné la carrera y quiero regresar,0.92
¿Qué debo hacer para regresar a mi carrera?,Quiero volver a entrar a mi carrera,0.92
¿Qué debo hacer para regresar a mi carrera?,Me gustaría volver a la universidad,0.88
¿Qué debo hacer para regresar a mi carrera?,Quiero retomar mis estudios,0.88
¿Qué debo hacer para regresar a mi carrera?,¿Cómo puedo volver a mi carrera?,0.88
¿Qué debo hacer para regresar a mi carrera?,Necesito información sobre el reingreso,0.88
¿Qué debo hacer para regresar a mi carrera?,Necesito ayuda para volver a mi carrera,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,¿Necesito actualizar mis datos socioeconómicos para volver a mi carrera?,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,Quiero saber si necesito algo para volver a la universidad,0.88
Datos Socioeconómicos para el Reingreso a Pregrado,¿Qué requisitos necesito para regresar a mi carrera?,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,¿Debo actualizar mis datos socioeconómicos para regresar a mi carrera?,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,¿Qué debo tener en cuenta para volver a mi carrera?,0.88
Datos Socioeconómicos para el Reingreso a Pregrado,Cosas a tener en cuenta para regresar a una carrera,0.88
Datos Socioeconómicos para el Reingreso a Pregrado,¿Para regresar a mi carrera necesito actualizar mis datos socioeconómicos?,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,¿Cómo se si puedo volver a mi carrera?,0.92
Datos Socioeconómicos para el Reingreso a Pregrado,Quiero saber si podré volver a mi carrera,0.92
¿Qué requisitos necesito para regresar a mi carrera?,¿Necesito actualizar mis datos socioeconómicos para volver a mi carrera?,0.92
¿Qué requisitos necesito para regresar a mi carrera?,Quiero saber si necesito algo para volver a la universidad,0.88
¿Qué requisitos necesito para regresar a mi carrera?,¿Debo actualizar mis datos socioeconómicos para regresar a mi carrera?,0.92
¿Qué requisitos necesito para regresar a mi carrera?,¿Qué debo tener en cuenta para volver a mi carrera?,0.88
¿Qué requisitos necesito para regresar a mi carrera?,Cosas a tener en cuenta para regresar a una carrera,0.88
¿Qué requisitos necesito para regresar a mi carrera?,¿Para regresar a mi carrera necesito actualizar mis datos socioeconómicos?,0.92
¿Qué requisitos necesito para regresar a mi carrera?,¿Cómo se si puedo volver a mi carrera?,0.92
¿Qué requisitos necesito para regresar a mi carrera?,Quiero saber si podré volver a mi carrera,0.92
